1403715895084058112 0.00099 0.36798 0.30565 0.04352 0.81352 -0.03836 0.57863
1403715895184057856 0.00989 0.41667 0.33120 0.04129 0.81340 -0.04039 0.57882
1403715895284058112 0.01830 0.46464 0.35518 0.03971 0.81337 -0.04194 0.57888
1403715895384058112 0.02735 0.51420 0.37878 0.03947 0.81327 -0.04248 0.57899
1403715895484057856 0.03531 0.56440 0.40107 0.03954 0.81355 -0.04306 0.57855
1403715895684057856 0.04838 0.66391 0.44508 0.03991 0.81392 -0.04417 0.57791
1403715895784058112 0.05709 0.71433 0.46672 0.03959 0.81425 -0.04507 0.57741
1403715895984057856 0.07136 0.81329 0.50805 0.03781 0.81411 -0.04675 0.57759
1403715896084058112 0.08016 0.86179 0.52795 0.03351 0.81440 -0.04932 0.57723
1403715896184057856 0.08907 0.90855 0.54627 0.02525 0.81409 -0.05458 0.57762
1403715896284058112 0.09713 0.94943 0.56151 0.01096 0.81139 -0.06430 0.58086
1403715896384058112 0.10347 0.98325 0.57819 -0.00561 0.80801 -0.07527 0.58432
1403715896484057856 0.10797 1.00559 0.59400 -0.01701 0.80510 -0.08261 0.58711
1403715896584058112 0.10880 1.01762 0.61164 -0.02473 0.80116 -0.08727 0.59154
1403715896984057856 0.06401 0.94165 0.69672 -0.05185 0.80295 -0.10186 0.58499
1403715897184057856 0.01910 0.79041 0.74076 -0.06524 0.80405 -0.10972 0.58069
1403715897284058112 -0.00564 0.67911 0.76384 -0.04961 0.80763 -0.09844 0.57930
1403715897384058112 -0.03044 0.55008 0.78750 -0.01987 0.81297 -0.07679 0.57688
1403715897484057856 -0.05446 0.41189 0.81183 0.00078 0.81616 -0.06153 0.57455
1403715897584058112 -0.07489 0.26922 0.83337 0.00746 0.81737 -0.05533 0.57340
1403715897684057856 -0.09137 0.12385 0.85208 0.00038 0.81666 -0.05850 0.57414
1403715897784058112 -0.10768 -0.02472 0.87027 -0.01232 0.81457 -0.06530 0.57624
1403715897884058112 -0.12124 -0.18010 0.88687 -0.01831 0.81066 -0.06738 0.58134
1403715897984057856 -0.13321 -0.34254 0.90342 -0.01391 0.80763 -0.06247 0.58621
1403715898084058112 -0.14668 -0.51046 0.91930 -0.00470 0.80087 -0.05595 0.59621
1403715898184057856 -0.16407 -0.68151 0.93489 0.00656 0.79310 -0.05392 0.60667
1403715898284058112 -0.18748 -0.85328 0.94796 0.02017 0.79010 -0.05735 0.60996
1403715898384058112 -0.21972 -1.02348 0.95580 0.03347 0.79207 -0.06704 0.60581
1403715898484057856 -0.25619 -1.19114 0.95832 0.04557 0.79814 -0.08173 0.59517
1403715898584058112 -0.29454 -1.35631 0.95762 0.05835 0.80344 -0.09799 0.58437
1403715898684057856 -0.33218 -1.51870 0.95080 0.07205 0.80306 -0.11583 0.58008
1403715898784058112 -0.36871 -1.67872 0.93271 0.08490 0.80040 -0.13258 0.57843
1403715898884058112 -0.40322 -1.83775 0.90244 0.09492 0.79969 -0.14538 0.57477
1403715898984057856 -0.43277 -2.00075 0.86123 0.10106 0.80028 -0.15426 0.57057
1403715899084058112 -0.45947 -2.16024 0.80939 0.10414 0.80061 -0.16009 0.56793
1403715899184057856 -0.47991 -2.31138 0.75215 0.10577 0.80634 -0.16412 0.55830
1403715899284058112 -0.49386 -2.45633 0.70198 0.11213 0.81450 -0.16192 0.54571
1403715899384058112 -0.50242 -2.59408 0.66427 0.11608 0.82371 -0.15872 0.53183
1403715899484057856 -0.49884 -2.72421 0.64313 0.12018 0.82720 -0.15439 0.52674
1403715899584058112 -0.48142 -2.84709 0.63096 0.11762 0.82754 -0.15256 0.52732
1403715899684057856 -0.45435 -2.96354 0.61943 0.11408 0.82758 -0.15131 0.52840
1403715899784058112 -0.41839 -3.08264 0.60837 0.11756 0.82633 -0.14498 0.53136
1403715899884058112 -0.37127 -3.19675 0.59996 0.12728 0.82150 -0.13455 0.53928
1403715899984057856 -0.31617 -3.30743 0.59407 0.13921 0.81862 -0.12267 0.54354
1403715900084058112 -0.25215 -3.40554 0.58771 0.14655 0.81679 -0.11481 0.54607
1403715900184057856 -0.18139 -3.49086 0.58221 0.15214 0.81594 -0.10973 0.54685
1403715900284058112 -0.10428 -3.56255 0.57725 0.15568 0.81535 -0.10631 0.54742
1403715900384058112 -0.01843 -3.61973 0.57338 0.15709 0.81595 -0.10507 0.54636
1403715900484057856 0.07381 -3.66013 0.57017 0.14558 0.81564 -0.11363 0.54829
1403715900584058112 0.17239 -3.68774 0.57050 0.12922 0.80808 -0.12553 0.56085
1403715900684057856 0.27513 -3.70839 0.57285 0.11181 0.79620 -0.13826 0.57832
1403715900784058112 0.37538 -3.72381 0.57629 0.10370 0.78104 -0.14420 0.59869
